_time,_measurement,_field,_value
2024-08-26 04:41:00+00:00,mqtt_consumer,ax,-3.907
2024-08-26 04:42:00+00:00,mqtt_consumer,ax,-3.900500000000001
2024-08-26 04:43:00+00:00,mqtt_consumer,ax,-3.8882499999999993
2024-08-26 04:44:00+00:00,mqtt_consumer,ax,-3.901111111111111
2024-08-26 02:20:00+00:00,mqtt_consumer,ay,4.952222222222223
2024-08-26 02:21:00+00:00,mqtt_consumer,ay,4.9615
2024-08-26 02:22:00+00:00,mqtt_consumer,ay,4.963500000000001
2024-08-26 02:23:00+00:00,mqtt_consumer,ay,4.956999999999999
2024-08-26 02:24:00+00:00,mqtt_consumer,ay,4.9505
2024-08-26 02:25:00+00:00,mqtt_consumer,ay,4.95315789473684
2024-08-26 02:26:00+00:00,mqtt_consumer,ay,4.94675
2024-08-26 02:27:00+00:00,mqtt_consumer,ay,4.956249999999999
2024-08-26 02:28:00+00:00,mqtt_consumer,ay,4.958999999999998
2024-08-26 02:29:00+00:00,mqtt_consumer,ay,4.959749999999999
2024-08-26 02:30:00+00:00,mqtt_consumer,ay,4.9635
2024-08-26 02:31:00+00:00,mqtt_consumer,ay,4.956249999999999
2024-08-26 02:32:00+00:00,mqtt_consumer,ay,4.956999999999998
2024-08-26 02:33:00+00:00,mqtt_consumer,ay,4.9615
2024-08-26 02:34:00+00:00,mqtt_consumer,ay,4.958499999999999
2024-08-26 02:35:00+00:00,mqtt_consumer,ay,4.951249999999999
2024-08-26 02:36:00+00:00,mqtt_consumer,ay,4.96425
2024-08-26 02:37:00+00:00,mqtt_consumer,ay,4.953749999999998
2024-08-26 02:38:00+00:00,mqtt_consumer,ay,4.961500000000001
2024-08-26 02:39:00+00:00,mqtt_consumer,ay,4.958499999999999
2024-08-26 02:40:00+00:00,mqtt_consumer,ay,4.953499999999998
2024-08-26 02:41:00+00:00,mqtt_consumer,ay,4.9670000000000005
2024-08-26 02:42:00+00:00,mqtt_consumer,ay,4.9537499999999985
2024-08-26 02:43:00+00:00,mqtt_consumer,ay,4.961249999999998
2024-08-26 02:44:00+00:00,mqtt_consumer,ay,4.969500000000001
2024-08-26 02:45:00+00:00,mqtt_consumer,ay,4.951999999999998
2024-08-26 02:46:00+00:00,mqtt_consumer,ay,4.9682499999999985
2024-08-26 02:47:00+00:00,mqtt_consumer,ay,4.962499999999998
2024-08-26 02:48:00+00:00,mqtt_consumer,ay,4.961999999999999
2024-08-26 02:49:00+00:00,mqtt_consumer,ay,4.966749999999999
2024-08-26 02:50:00+00:00,mqtt_consumer,ay,4.961500000000001
2024-08-26 02:51:00+00:00,mqtt_consumer,ay,4.964250000000001
2024-08-26 02:52:00+00:00,mqtt_consumer,ay,4.954750000000002
2024-08-26 02:53:00+00:00,mqtt_consumer,ay,4.959999999999998
2024-08-26 02:54:00+00:00,mqtt_consumer,ay,4.96825
2024-08-26 02:55:00+00:00,mqtt_consumer,ay,4.96575
2024-08-26 02:56:00+00:00,mqtt_consumer,ay,4.963999999999998
2024-08-26 02:57:00+00:00,mqtt_consumer,ay,4.9670000000000005
2024-08-26 02:58:00+00:00,mqtt_consumer,ay,4.9624999999999995
2024-08-26 02:59:00+00:00,mqtt_consumer,ay,4.958
2024-08-26 03:00:00+00:00,mqtt_consumer,ay,4.95925
2024-08-26 03:01:00+00:00,mqtt_consumer,ay,4.962249999999999
2024-08-26 03:02:00+00:00,mqtt_consumer,ay,4.959249999999999
2024-08-26 03:03:00+00:00,mqtt_consumer,ay,4.967749999999999
2024-08-26 03:04:00+00:00,mqtt_consumer,ay,4.953499999999999
2024-08-26 03:05:00+00:00,mqtt_consumer,ay,4.958
2024-08-26 03:06:00+00:00,mqtt_consumer,ay,4.952499999999997
2024-08-26 03:07:00+00:00,mqtt_consumer,ay,4.9665
2024-08-26 03:08:00+00:00,mqtt_consumer,ay,4.95525
2024-08-26 03:09:00+00:00,mqtt_consumer,ay,4.960499999999998
2024-08-26 03:10:00+00:00,mqtt_consumer,ay,4.95175
2024-08-26 03:11:00+00:00,mqtt_consumer,ay,4.958
2024-08-26 03:12:00+00:00,mqtt_consumer,ay,4.962249999999999
2024-08-26 03:13:00+00:00,mqtt_consumer,ay,4.973750000000001
2024-08-26 03:14:00+00:00,mqtt_consumer,ay,4.95975
2024-08-26 03:15:00+00:00,mqtt_consumer,ay,4.9655
2024-08-26 03:16:00+00:00,mqtt_consumer,ay,4.958499999999999
2024-08-26 03:17:00+00:00,mqtt_consumer,ay,4.968000000000001
2024-08-26 03:18:00+00:00,mqtt_consumer,ay,4.963
2024-08-26 03:19:00+00:00,mqtt_consumer,ay,4.95675
2024-08-26 03:20:00+00:00,mqtt_consumer,ay,4.957999999999999
2024-08-26 03:21:00+00:00,mqtt_consumer,ay,4.96275
2024-08-26 03:22:00+00:00,mqtt_consumer,ay,4.955249999999999
2024-08-26 03:23:00+00:00,mqtt_consumer,ay,4.9617499999999986
2024-08-26 03:24:00+00:00,mqtt_consumer,ay,4.962999999999998
2024-08-26 03:25:00+00:00,mqtt_consumer,ay,4.95725
2024-08-26 03:26:00+00:00,mqtt_consumer,ay,4.9595
2024-08-26 03:27:00+00:00,mqtt_consumer,ay,4.9525
2024-08-26 03:28:00+00:00,mqtt_consumer,ay,4.9565
2024-08-26 03:29:00+00:00,mqtt_consumer,ay,4.959749999999998
2024-08-26 03:30:00+00:00,mqtt_consumer,ay,4.957999999999998
2024-08-26 03:31:00+00:00,mqtt_consumer,ay,4.957249999999999
2024-08-26 03:32:00+00:00,mqtt_consumer,ay,4.9662500000000005
2024-08-26 03:33:00+00:00,mqtt_consumer,ay,4.9605
2024-08-26 03:34:00+00:00,mqtt_consumer,ay,4.961499999999999
2024-08-26 03:35:00+00:00,mqtt_consumer,ay,4.970749999999999
2024-08-26 03:36:00+00:00,mqtt_consumer,ay,4.966749999999999
2024-08-26 03:37:00+00:00,mqtt_consumer,ay,4.974999999999999
2024-08-26 03:38:00+00:00,mqtt_consumer,ay,4.9605
2024-08-26 03:39:00+00:00,mqtt_consumer,ay,4.96425
2024-08-26 03:40:00+00:00,mqtt_consumer,ay,4.964749999999999
2024-08-26 03:41:00+00:00,mqtt_consumer,ay,4.962249999999999
2024-08-26 03:42:00+00:00,mqtt_consumer,ay,4.962999999999999
2024-08-26 03:43:00+00:00,mqtt_consumer,ay,4.9605
2024-08-26 03:44:00+00:00,mqtt_consumer,ay,4.9715
2024-08-26 03:45:00+00:00,mqtt_consumer,ay,4.958499999999998
2024-08-26 03:46:00+00:00,mqtt_consumer,ay,4.9677500000000006
2024-08-26 03:47:00+00:00,mqtt_consumer,ay,4.956749999999999
2024-08-26 03:48:00+00:00,mqtt_consumer,ay,4.970000000000001
2024-08-26 03:49:00+00:00,mqtt_consumer,ay,4.96625
2024-08-26 03:50:00+00:00,mqtt_consumer,ay,4.951
2024-08-26 03:51:00+00:00,mqtt_consumer,ay,4.9655000000000005
2024-08-26 03:52:00+00:00,mqtt_consumer,ay,4.9645
2024-08-26 03:53:00+00:00,mqtt_consumer,ay,4.9645
2024-08-26 03:54:00+00:00,mqtt_consumer,ay,4.962
2024-08-26 03:55:00+00:00,mqtt_consumer,ay,4.96275
2024-08-26 03:56:00+00:00,mqtt_consumer,ay,4.966999999999998
2024-08-26 03:57:00+00:00,mqtt_consumer,ay,4.956499999999999
2024-08-26 03:58:00+00:00,mqtt_consumer,ay,4.962749999999998
2024-08-26 03:59:00+00:00,mqtt_consumer,ay,4.96275
2024-08-26 04:00:00+00:00,mqtt_consumer,ay,4.964499999999999
2024-08-26 04:01:00+00:00,mqtt_consumer,ay,4.9620000000000015
2024-08-26 04:02:00+00:00,mqtt_consumer,ay,4.963749999999999
2024-08-26 04:03:00+00:00,mqtt_consumer,ay,4.951749999999999
2024-08-26 04:04:00+00:00,mqtt_consumer,ay,4.963249999999999
2024-08-26 04:05:00+00:00,mqtt_consumer,ay,4.969499999999998
2024-08-26 04:06:00+00:00,mqtt_consumer,ay,4.965999999999999
2024-08-26 04:07:00+00:00,mqtt_consumer,ay,4.9585
2024-08-26 04:08:00+00:00,mqtt_consumer,ay,4.9567499999999995
2024-08-26 04:09:00+00:00,mqtt_consumer,ay,4.960999999999999
2024-08-26 04:10:00+00:00,mqtt_consumer,ay,4.9575
2024-08-26 04:11:00+00:00,mqtt_consumer,ay,4.9647499999999996
2024-08-26 04:12:00+00:00,mqtt_consumer,ay,4.956249999999999
2024-08-26 04:13:00+00:00,mqtt_consumer,ay,4.958499999999999
2024-08-26 04:14:00+00:00,mqtt_consumer,ay,4.960000000000001
2024-08-26 04:15:00+00:00,mqtt_consumer,ay,4.9559999999999995
2024-08-26 04:16:00+00:00,mqtt_consumer,ay,4.968750000000001
2024-08-26 04:17:00+00:00,mqtt_consumer,ay,4.958499999999999
2024-08-26 04:18:00+00:00,mqtt_consumer,ay,4.9645
2024-08-26 04:19:00+00:00,mqtt_consumer,ay,4.965249999999998
2024-08-26 04:20:00+00:00,mqtt_consumer,ay,4.976749999999998
2024-08-26 04:21:00+00:00,mqtt_consumer,ay,4.965999999999999
2024-08-26 04:22:00+00:00,mqtt_consumer,ay,4.96125
2024-08-26 04:23:00+00:00,mqtt_consumer,ay,4.958999999999999
2024-08-26 04:24:00+00:00,mqtt_consumer,ay,4.96625
2024-08-26 04:25:00+00:00,mqtt_consumer,ay,4.97425
2024-08-26 04:26:00+00:00,mqtt_consumer,ay,4.96825
2024-08-26 04:27:00+00:00,mqtt_consumer,ay,4.964249999999999
2024-08-26 04:28:00+00:00,mqtt_consumer,ay,4.9595
2024-08-26 04:29:00+00:00,mqtt_consumer,ay,4.9697499999999994
2024-08-26 04:30:00+00:00,mqtt_consumer,ay,4.95475
2024-08-26 04:31:00+00:00,mqtt_consumer,ay,4.96575
2024-08-26 04:32:00+00:00,mqtt_consumer,ay,4.95575
